Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
24469	27616	0.7943490147590637	0.8900619745254517	3147	0.09571295976638794	9	VLI007	I3952	328.7955996430433
11718	14093	0.42549699544906616	0.4912289977073669	2375	0.06573200225830078	10	VLI007	I10342	361.3156329343489
20658	22289	0.6988319754600525	0.7708320021629333	1631	0.07200002670288086	10	VLI007	I0232	226.52769376469416
6316	8907	0.2461549937725067	0.309920996427536	2591	0.0637660026550293	11	VLI007	POST_6	406.3293749205471
28609	30690	0.8896459937095642	0.9578089714050292	2081	0.06816297769546509	12	VLI007	I0232	305.29769537026107
29306	32939	0.8945590257644653	0.9934790134429932	3633	0.09891998767852783	13	VLI007	GBVPK.SG	367.26652370869635
18704	21176	0.6282870173454285	0.6947900056838989	2472	0.06650298833847046	13	VLI007	I5287	371.7126195019426
18217	21177	0.6183850169181824	0.6948069930076599	2960	0.07642197608947754	13	VLI007	I21179	387.32314335006566
2339	4373	0.1661199927330017	0.2401719987392425	2034	0.07405200600624083	14	VLI007	EBA2_noUDG.SG	274.6718299337606
6588	8976	0.5176320075988771	0.5790039896965027	2388	0.061371982097625725	15	VLI007	TORTF.SG	389.10263582514864
26899	28717	1.048406958580017	1.130560040473938	1818	0.0821530818939209	15	VLI007	GBVPK.SG	221.2941934847276
16649	19202	0.7741209864616394	0.8484159708023071	2553	0.07429498434066772	15	VLI007	I3952	343.63019558542845
26940	28530	1.0524040460586548	1.1244590282440186	1590	0.07205498218536377	15	VLI007	I3952	220.66482452381618
17323	19070	0.7291690111160278	0.7938529849052429	1747	0.06468397378921509	16	VLI007	I14603	270.08235543674675
19482	21376	0.8291280269622803	0.898235023021698	1894	0.06910699605941772	17	VLI007	I26893	274.06776563859785
5452	7266	0.4247570037841797	0.4962239861488342	1814	0.07146698236465454	19	VLI007	POST_99	253.8235056216884
5430	7364	0.2764500081539154	0.3423660099506378	1934	0.06591600179672241	20	VLI007	POST_99	293.4037179567171
17384	19910	0.5944179892539978	0.6825289726257324	2526	0.08811098337173462	20	VLI007	I14603	286.68389607490445
